Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",289.07,-4.73,-1.61%,299,285.85,60154102,05/01/20
ABBV,"Abbvie Inc",82.84,0.64,+0.78%,84.23,80.5,12705301,05/01/20
ABT,"Abbott Laboratories",89.85,-2.24,-2.43%,91.36,88.75,6839700,05/01/20
ACN,"Accenture Plc",180.09,-5.1,-2.75%,182.99,179.26,2064100,05/01/20
ADBE,"Adobe Systems Inc",343.84,-9.8,-2.77%,350.31,340.26,2578600,05/01/20
AGN,"Allergan Plc",189.74,2.4,+1.28%,189.99,186.18,5787200,05/01/20
AIG,"American International Group",23.9,-1.53,-6.02%,24.67,23.55,6409900,05/01/20
ALL,"Allstate Corp",99.74,-1.98,-1.95%,100.59,98.9,2186000,05/01/20
AMGN,"Amgen Inc",230.98,-8.24,-3.44%,237.05,228,3045400,05/01/20
AMZN,"Amazon.com Inc",2286.04,-187.96,-7.60%,2362.44,2258.19,9772601,05/01/20
AXP,"American Express Company",88.32,-2.93,-3.21%,89.07,87.16,4620100,05/01/20
BA,"Boeing Company",133.37,-7.65,-5.42%,143.71,132.84,36613098,05/01/20
BAC,"Bank of America Corp",23.08,-0.97,-4.03%,23.46,22.81,51772602,05/01/20
BIIB,"Biogen Inc",293.09,-3.74,-1.26%,297.92,291.88,1538600,05/01/20
BK,"Bank of New York Mellon Corp",36,-1.54,-4.10%,36.74,35.85,4005200,05/01/20
BKNG,"Booking Holdings Inc",1448.79,-31.78,-2.15%,1460.3,1415.31,458500,05/01/20
BLK,Blackrock,484.16,-17.88,-3.56%,492.47,483.15,526300,05/01/20
BMY,"Bristol-Myers Squibb Company",60.26,-0.55,-0.90%,60.87,59.67,15582800,05/01/20
BRK.B,"Berkshire Hathaway Cl B",182.67,-4.69,-2.50%,185.89,181.64,7516500,05/01/20
C,"Citigroup Inc",45.52,-3.04,-6.26%,46.47,45.22,28078898,05/01/20
CAT,"Caterpillar Inc",110.88,-5.5,-4.73%,114.59,110.57,3960300,05/01/20
CHTR,"Charter Communicatio",509.64,14.41,+2.91%,517.91,495.51,1671300,05/01/20
CL,"Colgate-Palmolive Company",68.53,-1.74,-2.48%,71,68.31,4497200,05/01/20
CMCSA,"Comcast Corp A",36.98,-0.65,-1.73%,37.51,36.78,19951602,05/01/20
COF,"Capital One Financial Corp",61.58,-3.18,-4.91%,62.17,60.16,6249200,05/01/20
COP,Conocophillips,39.14,-2.96,-7.03%,41.3,38.71,9256601,05/01/20
COST,"Costco Wholesale",301.92,-1.08,-0.36%,304.82,300.18,2525500,05/01/20
CSCO,"Cisco Systems Inc",40.92,-1.46,-3.45%,41.81,40.76,22095201,05/01/20
CVS,"CVS Corp",59.7,-1.85,-3.01%,60.8,59.27,7715800,05/01/20
